CO2,Country of birth/nationality,Variable,Gender,Country,Year,Value,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2003,698,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2004,475,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2005,338,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2006,279,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2007,412,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2008,422,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2009,522,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2010,548,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2011,812,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2012,755,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2013,753,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2014,441,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2015,399,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2016,722,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2017,726,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2018,452,
IRN,Iran,Inflows of foreign population by nationality,Total,Norway,2019,501,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2005,40,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2006,49,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2007,64,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2008,68,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2009,73,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2010,111,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2011,126,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2012,132,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2013,174,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2014,89,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2015,181,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2016,197,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2017,233,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2018,243,
IRN,Iran,Inflows of foreign population by nationality,Total,Poland,2019,289,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2003,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2004,19,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2005,12,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2006,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2007,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2008,2,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2009,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2010,7,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2011,1,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2012,4,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2013,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2014,3,
IRN,Iran,Inflows of foreign population by nationality,Total,Slovak Republic,2015,7,
